阶段 0，第 1 章：宇宙

---

1.1 第一缕光
当文艺复兴翻越阿尔卑斯山后，获得了一种不同的审美。佛兰德斯画家扬·凡·艾克发展出一种精炼的油画技法，可以将薄薄的透明颜料层层叠加，使得他的《阿尔诺芬尼夫妇像》中的吊灯能以如此高的保真度反射光线，艺术史学家至今仍在争论他是否使用了一面隐藏的镜子。德国人阿尔布雷希特·丢勒将意大利透视法与北方的执着细节相结合，他的版画《忧郁 I》将几何仪器、沙漏和骷髅组合在一起，对文艺复兴知识分子的精神状态进行了一次视觉诊断。荷兰人耶罗尼米斯·博斯画了三联画《人间乐园》，画中遍布鸟首人身、骑鱼的人，以及被自身罪恶追逐的灵魂，这件作品如此奇异，以致五个世纪以来的观者都未能就它实际描绘的内容达成一致。

Q1: 扬·凡·艾克发展了一种精炼的佛兰德斯技法，将薄薄的透明颜料层叠加，即
A 蛋彩画。
B 仅指湿壁画。
C 油画。
D 蜡画。
A1: C

Q2: 阿尔布雷希特·丢勒在称为___的金属板印刷形式作品中，将意大利透视法与北方的执着细节相结合。
A 木刻。
B 平版印刷。
C 雕版画。
D 仅指蚀刻。
A2: C

Q3: 博斯的《人间乐园》是以三幅一联的格式绘制的，称为
A 多联画。
B 三联画。
C 双联画。
D 仅指祭坛画。
A3: B

---

9.16 向西，驶入未知

热那亚航海家哥伦布基于错误地过低的估计，计算出地球足够小，可以在几周内向西环航至亚洲。他说服西班牙王室资助这一尝试，结果到了加勒比地区而非亚洲，并至死坚持他已到达印度群岛，这就是美洲原住民至今被称为印第安人的原因。葡萄牙船长麦哲伦尝试了首次完整的环球航行；他本人在菲律宾被杀，但一艘饱经风霜的船只载着十八名幸存者蹒跚而归，通过环绕地球行走证明了地球是圆的。由此产生的哥伦布大交换将马、小麦、天花和基督教向西输送，而向东返回的则是土豆、玉米、番茄、辣椒、可可和烟草，从此重塑了全球的烹饪。

Q1: 一艘饱经风霜的船载着十八名幸存者蹒跚而归，有史以来第一次完成了
A 横渡大西洋。
B 环球航行。
C 前往印度群岛的航行。
D 仅指横渡太平洋。
A1: B

Q2: 马、小麦、土豆、玉米和烟草在穿越大西洋的双向转移构成了一种___交换。
A 贵金属。
B 物种。
C 外交官。
D 宗教教义。
A2: B

Q3: 欧洲人无意中向西带到美洲原住民那里的疾病之一是
A 仅指腺鼠疫。
B 天花。
C 结核病。
D 坏血病。
A3: B

---

9.17 西班牙黄金世纪

卡斯蒂利亚作家塞万提斯创作了《堂吉诃德》，书中一位被骑士小说冲昏头脑的老绅士骑着一匹瘦马，冲向他自己真心认为是巨人的风车，这部讽刺作品被普遍认为是第一部现代小说。宫廷画家委拉斯开兹在《宫娥》中将自己画入画布，制造了一个如此持久的视觉谜题，以至于毕加索后来创作了四十多个变体试图回应它。戈雅在《1808年5月3日》中记录了拿破仑军队对马德里平民的屠杀。加泰罗尼亚建筑师高迪设计了拥有融化般有机形式的圣家堂，其建造始于他的有生之年，至今仍未完工。安达卢西亚南部的弗拉门戈，最初由罗姆人社区通过跺脚跟和拍手的节奏即兴创作，已成为西班牙民族气质中可辨识的声音。

Q1: 塞万提斯的《堂吉诃德》被普遍认为是第一部
A 流浪汉传奇。
B 现代小说。
C 骑士史诗。
D 讽刺小册子。
A1: B

Q2: 那位被骑士小说冲昏头脑的老绅士，真心相信它们是巨人，冲向了乡村的
A 城堡。
B 风车。
C 大教堂。
D 橄榄树。
A2: B

Q3: 这种安达卢西亚舞蹈形式，最初由罗姆人通过跺脚跟和拍手即兴创作，是
A 探戈。
B 萨尔萨。
C 弗拉门戈。
D 法多。
A3: C

---

9.18 九十五条论纲

德国工匠古腾堡发明了金属活字，印刷了欧洲第一本圣经，然后在自己发明的深远影响传播开来之前就破产了。当这影响到来时，它表现为一位名叫马丁·路德的德国修士将挑战教皇赎罪券销售的《九十五条论纲》钉在了维滕贝格教堂的门上。他原本只是打算进行一场学术辩论。古腾堡的印刷机在数月内将他的文件复制传遍了整个德语世界。由此引发的宗教改革将西方基督教世界分裂为天主教和新教两半，引发了几十年的宗教战争，并重塑了整个欧洲大陆的政治地图。一项单一的印刷技术加上一份被钉在门上的文件，重新组织了欧洲的精神架构。

Q1: 德国工匠古腾堡在发明了___之后，印刷了欧洲第一本圣经。
A 雕版印刷。
B 金属活字。
C 仅指印刷机。
D 石印石。
A1: B

Q2: 路德钉在维滕贝格教堂门上的《九十五条论纲》挑战了教皇___的销售。
A 圣物。
B 赎罪券。
C 特许。
D 圣事。
A2: B

Q3: 由此引发的宗教改革分裂了西方基督教世界，并产生了新的教派
A 仅指圣公会。
B 仅指加尔文宗。
C 新教。
D 东正教。
A3: C

---

9.19 天文学家与望远镜

波兰天文学家哥白尼经过计算，得出了与他所处时代所有哲学和神学直觉相反的结论：地球并非宇宙的中心，而是围绕太阳运行。这个结论让他如此恐惧，以至于他将手稿压到临终之时，据说到那时他已经神志不清，无法认出朋友塞到他手中的印刷本。意大利天文学家伽利略配备了改进的望远镜，观测到木星的卫星和金星的相位，每一次观测都独立证实了哥白尼的模型。罗马宗教裁判所传唤他，明确以酷刑相威胁，要他承认异端邪说。伽利略公开宣布放弃己见，并被软禁在家中度过余生，尽管传统记载他在走出法庭时仍低声嘟囔：“但它（地球）还是在动。”

Q1: 哥白尼经过计算，得出了与他所处时代的哲学直觉相反的结论：
A 地心说模型。
B 日心说模型，即地球围绕太阳运行。
C 本轮模型。
D 无限宇宙模型。
A1: B

Q2: 伽利略通过改进的___观测了木星的卫星和金星的相位。
A 显微镜。
B 望远镜。
C 六分仪。
D 星盘。
A2: B

Q3: 在宗教裁判所面前公开宣布放弃己见后，伽利略的余生都被限制在
A 独自一人的修道院流放。
B 软禁在家。
C 关押在梵蒂冈地牢。
D 内部流放到西西里。
A3: B

---

9.20 手套匠之子与童贞女王

一个小镇手套匠人的儿子长大后创作了三十七部戏剧和一百五十四首十四行诗，有效地重塑了英语语言本身。莎士比亚发明或首次证实了如此基础的词汇，以至于当代使用者察觉不到其来源：暗杀、成瘾、孤独、眼球、卧室。他的台词已成为描述整个人类状况的惯用简语。与此同时，他的君主伊丽莎白一世拒绝了所有求婚，宣布自己嫁给了王国，亲自授权了摧毁西班牙无敌舰队的海战，并将英格兰从欧洲事务的边缘引向一个将在接下来的三个世纪中扩张的海上帝国的中心。一个手套匠人的儿子和一位未婚的女王，通过语言和舰队并行努力，共同为英格兰打开了通往全球影响力的道路。

Q1: 除了三十七部戏剧，莎士比亚还写了一百五十四首十四行诗，被称为
A 歌谣。
B 颂诗。
C 十四行诗。
D 维拉内拉诗。
A1: C

Q2: 莎士比亚的父亲在斯特拉特福小镇从事的行业是
A 印刷。
B 手套制作。
C 酿造。
D 铁匠。
A2: B

Q3: 伊丽莎白一世亲自授权了摧毁西班牙___的海战。
A 仅指加的斯的大帆船舰队。
B 英格兰海岸外的无敌舰队。
C 来自哈瓦那的货船队。
D 地中海远征。
A3: B

---

9.21 镜片与股票

代尔夫特的布料商人安东尼·范·列文虎克自己研磨玻璃镜片，制造了他那个时代最强大的显微镜，通过它他首次观察到细菌、精子以及他称之为“微动物”的单细胞生物。他绘制了这些生物，并将画作寄给伦敦的皇家学会，整个西方世界由此首次得知生命在肉眼分辨力以下的尺度上大量繁殖。在同一座城市，哲学家斯宾诺莎因异端泛神论被自己的犹太社区驱逐，以研磨镜片为生，同时起草《伦理学》，在书中阐述了神与自然同一的学说。这一切都发生在荷兰东印度公司的金融上层建筑之下，这是第一家跨国股份公司，它创造了股票、债券、银行、保险和投机泡沫这些现代金融工具，其出现顺序大致就是后来其他地方所使用的顺序。

Q1: 列文虎克通过自己研磨玻璃___，制造了他那个时代最强大的显微镜。
A 棱镜。
B 镜片。
C 镜子。
D 晶体。
A1: B

Q2: 通过那台显微镜，他首次观察到单细胞生物，现在称为
A 仅指原生动物。
B 细菌。
C 病毒。
D 真菌。
A2: B

Q3: 荷兰东印度公司领先于地球上所有其他商业企业，创造了代表公司部分所有权的金融工具，即
A 债券。
B 股票。
C 银行券。
D 保险合同。
A3: B

---

9.22 巴洛克与光

巴洛克绘画摒弃了文艺复兴的宁静清晰，转而追求高对比度和情感上的强烈。意大利人卡拉瓦乔照亮他的描绘对象，就像一束舞台聚光灯划破了周围的黑暗，产生了现在称为明暗对照法的戏剧性技法。他也是一个杀人犯，在死刑令下逃离罗马，并在逃亡中死去。荷兰人伦勃朗一生创作了一百多幅自画像，毫不畏缩地记录了自己从自信的年轻大师到破产潦倒者的衰老过程，没有对虚荣做出任何让步。维米尔将室内场景的全部情感张力凝聚在一只珍珠耳环的反光上。佛兰德斯人鲁本斯经营着一个巨大的绘画工坊，他画出构图，由助手完成，从欧洲半数宫廷积累了委托订单。

Q1: 卡拉瓦乔照亮他的描绘对象，仿佛一束舞台聚光灯划破了周围的黑暗，产生了被称为___的高对比度巴洛克技法。
A 晕涂法。
B 明暗对照法。
C 仅指暗色调主义。
D 厚涂法。
A1: B

Q2: 伦勃朗一生中毫不畏缩地通过一百多幅___记录了自己的衰老。
A 风景画。
B 群像。
C 自画像。
D 宗教场景。
A2: C

Q3: 鲁本斯以一种合作生产模式经营佛兰德斯绘画生意，即
A 公社工作室。
B 他画出草图、由助手完成的工坊。
C 行会会所。
D 学徒画室。
A3: B

---

9.23 解剖学

中世纪欧洲当局禁止解剖人体尸体，因此欧洲医学教科书一千多年来一直复制希腊医生盖伦的解剖学错误。在帕多瓦医学院工作的佛兰德斯解剖学家维萨里，天黑后从绞刑架上取回尸体并亲自解剖，发现了盖伦的数百处错误，并出版了一本修正后的图谱，展示了每一根肌肉纤维。英国医生哈维测量了心脏每分钟泵出的血量，证明这个数字大大超过了身体可能从食物中制造的量，并得出结论：血液因此必定是在一个闭合回路中循环，而不是被消耗和补充。这两本书共同推翻了一千年来公认的医学教条。

Q1: 在帕多瓦工作时，维萨里通过天黑后从绞刑架上取回___，纠正了几个世纪的解剖学错误。
A 仅骨架。
B 供解剖的新鲜尸体。
C 解剖图。
D 盖伦的手稿。
A1: B

Q2: 哈维证明了血液是由___驱动在一个闭合回路中循环的。
A 肝脏。
B 心脏。
C 脾脏。
D 大脑。
A2: B

Q3: 与古代理论相反，哈维证明了身体的血液不会被消耗和补充，而是
A 凝固。
B 氧化。
C 在闭合回路中循环。
D 从皮肤蒸发。
A3: C

---

9.24 鸡与炉子

英国政治家、经验主义创始人弗朗西斯·培根坚持认为，所有真正的知识都必须源于观察实验，而非来自公认的权威。他试图通过在冬天亲自将一只刚杀死的鸡塞满雪来验证寒冷对食物的保存作用，结果在此过程中患上肺炎，几天后就死于自己的实验。法国哲学家笛卡尔采取了相反的方法。他把自己关在德国一间供暖的房间里，有条不紊地怀疑自己所持有的每一个信念，直到他得出一个他无法怀疑的唯一事实：怀疑这一行为本身就证明了怀疑者的心灵的存在。“我思故我在”这一陈述因此成为现代理性主义的奠基公理，而西方哲学从此便在培根的经验实验和笛卡尔的理性演绎之间争论不休。

Q1: 弗朗西斯·培根坚持认为所有真正的知识都必须源于观察实验而非公认权威，由此创立了
A 经院哲学。
B 经验主义。
C 理性主义。
D 仅指怀疑论。
A1: B

Q2: 培根在冬天将刚杀死的鸡塞满雪的实验，在几天内导致他死于
A 冻伤。
B 肺炎。
C 食物中毒。
D 心力衰竭。
A2: B

Q3: 笛卡尔得出结论“我思故我在”，并由此创立了与之对立的学说：
A 经验主义。
B 理性主义。
C 仅指唯心主义。
D 实证主义。
A3: B

---

9.25 瘟疫年

当腺鼠疫迫使剑桥大学关闭时，一位名叫艾萨克·牛顿的年轻本科生回到自家农场，在十八个月内独立构想了万有引力，发明了微分学和积分学，并通过棱镜实验证明普通的白光包含了彩虹的所有颜色。他后来将那段间隔称为他一生中最具创造力的时期。德国数学家莱布尼茨从一个独立的起点发展出了等效的微积分版本，由此引发的优先权之争消耗了两人余生。主持皇家学会的牛顿公开谴责莱布尼茨为剽窃者，尽管现代历史学家得出结论，两人是独立得出了同样的数学工具。牛顿将更多精力投入炼金术和圣经预言，而非物理学，其成果他自己从未发表。
